,author,cluster_id,x,y
0,Anfu_Zhou,0,-0.5662251,-0.75728613
1,Hongman_Wang,1,-0.6052065,0.12589268
2,Xiangling_Fu,1,1.2330681,-0.44702983
3,Yang_Liu_0024,1,0.8030962,-1.3535779
4,Pengfei_Wang_0009,4,-0.8027786,0.94273686
5,Si-Ya_Xu,1,0.5138591,-0.903738
6,Wenjing_Li_0001,1,0.2870108,-0.8821197
7,Chen_Liu_0011,2,-1.4423493,-0.5076091
8,Xiaomin_Zhu_0002,1,0.85960037,-0.32776865
9,Yawen_Wang,1,1.2138888,-0.27124766
10,Pei_Zhang_0003,2,-1.2825315,-0.87979126
11,Jianfeng_Guan,1,0.666664,-0.44309887
12,Qi_Qi_0001,1,1.3357258,-0.8939869
13,Qiwei_Shen,4,-0.7055334,1.6710333
14,Chuan_Shi,4,-0.4490708,1.4309773
15,Yongping_Xiong,1,0.85356015,-0.5718093
16,Haihong_E,1,-0.17118768,0.4974236
17,Fanqin_Zhou,1,0.3876055,-1.1176064
18,Shuzhuang_Zhang,0,-0.509303,-0.5815074
19,Hongliang_Liang,3,2.0518134,0.74121076
20,Linmei_Hu,1,1.3400103,-0.6976059
21,Yanhua_Yu,1,1.306214,0.18520969
22,Yan_Shi_0002,1,0.92342615,-0.8972256
23,Haifeng_Sun,3,1.6744446,0.15520346
24,Yuhong_Li,3,1.9061475,0.50672805
25,Dong_Zhao_0001,4,-0.43089974,2.037271
26,Tiemeng_Li,4,-1.1619897,1.7921975
27,Feng_Qi_0004,1,0.17880487,1.2101285
28,Rongfeng_Li,4,-0.0087800585,2.2025647
29,Jincui_Yang,1,-0.13638404,0.8376877
30,Ao_Xiong,1,0.41906986,-1.0115002
31,Li_Wang_0039,0,-0.20576245,-1.1857334
32,Bin_Wu_0001,4,-1.0737089,0.32833263
33,Zhili_Wang,1,1.2355317,-0.18790296
34,Ding_Xiao,1,1.3525796,-0.3080302
35,Yingxia_Shao,1,-0.34960145,0.49824652
36,Rongheng_Lin,4,-0.9480257,-0.11615141
37,Kun_Niu,1,-0.7151333,0.59569407
38,Xirong_Que,0,-0.907634,-0.9885465
39,Dahai_Jin,4,-0.34461364,1.269533
40,Guangwei_Zhang,0,0.38601917,-2.24508
41,Yuan_Dong,1,-0.2245697,-0.17555466
42,Shangguang_Wang,1,0.7370512,-0.08276045
43,Xiangang_Qin,1,-0.7366723,-0.12656267
44,Xin_Li_0041,0,-1.0576379,-1.181032
45,Bo_Hu_0003,1,0.68749034,-1.0114086
46,Wenhua_Shao,1,1.1596913,0.13340822
47,Junping_Du,1,-0.31332722,0.81389755
48,Meilian_Lu,0,-1.0271791,-0.49279657
49,Wenbin_Yao,3,2.051761,0.7410797
50,Zhaowen_Lin,1,0.6589605,0.51310945
51,Liutong_Xu,3,2.0518134,0.74121076
52,Jinglin_Li,4,-0.8915454,2.4798357
53,Shao-Yong_Guo,1,0.28120354,-0.609859
54,Yidong_Cui,2,-1.5295901,-1.1350733
55,Yanlei_Shang,0,-0.75419855,-0.57086295
56,Xuejing_Kang,4,-0.052752692,1.521081
57,Sujie_Shao,3,1.6123303,-0.061587058
58,Anlong_Ming,4,-1.1602933,1.4618556
59,Bai_Wang_0001,4,-1.016112,0.24031697
60,Hui_Gao_0001,0,-0.0007006576,-1.3543662
61,Fangchun_Yang,4,-1.417025,1.7747103
62,Dongliang_Xie,0,-0.33541095,-0.36527655
63,Xiangwu_Meng,0,-0.2509064,-2.3901327
64,Jingling_Zhao,2,-1.3315989,-0.47416452
65,Pengrui_Duan,0,-0.6962766,-1.0310363
66,Wendong_Wang,1,0.025686258,-0.04809665
67,Shao-Zhang_Niu,4,-1.6135972,1.3853195
68,Yan_Sun_0004,1,-0.3800549,0.18326735
69,Yuyu_Yuan,4,-1.5675825,1.8414026
70,Wenan_Zhou,0,-0.1700173,-0.88720626
71,Xiang_Cheng_0003,1,0.22708601,0.40358508
72,Songwei_Pei,0,0.10431772,-2.0451312
73,Xiaoyuan_Fu,1,1.1121927,-0.5908439
74,Jianxin_Liao,1,0.4674899,-0.012715216
75,Tong_Xu_0002,1,0.2376106,0.2606833
76,Fang_Zhao_0003,1,1.1068481,0.00024352802
77,Chong_Gao,4,-1.5188198,0.59833777
78,Hai_Huang_0001,1,1.0411762,-0.19949369
79,Xiaofeng_Du,4,-1.3443972,0.09044206
80,Kun_Xie_0003,2,-1.2156098,-1.2745191
81,Yunzhan_Gong,4,-0.19287181,1.2265823
82,Yang_Zhang_0015,1,0.76239496,0.46555552
83,Changqiao_Xu,1,0.45092618,-0.47680506
84,Qiang_Fu_0004,0,-0.52233,-2.1507518
85,Wenming_Guo,4,-1.1505116,-0.012894831
86,Haoyu_Wang_0001,0,-0.869428,-1.5928829
87,Hongwei_Jia,3,1.376082,0.6163807
88,Meina_Song,1,-0.40255013,0.25978452
89,Lei_Feng_0001,1,0.6987118,-0.99412405
90,Yuchao_Zhang,3,2.0517473,0.74126405
91,Zhengqiu_Yang,2,-1.4478617,-0.50730115
92,Xiangyang_Gong,0,-0.056613546,-0.57928914
93,Hua_Zou,3,2.0518088,0.741228
94,Danfeng_Yan,1,1.2409791,-1.6499244
95,Xiuqin_Lin,4,-0.940851,0.42469662
96,Quan_Yuan_0004,1,0.14891465,-0.3815253
97,MeiYu_Liang,4,-1.0288824,0.81274056
98,Jingyu_Wang_0001,1,-0.0127593065,-0.14610855
99,Xingquan_Zuo,1,0.0666277,0.71253085
100,Lanlan_Rui,1,0.60039306,-0.33383647
101,Lejian_Zhang,3,1.624114,-0.05211282
102,Zhongbao_Zhang,1,0.463633,0.18168396
103,Xiaoru_Wang,4,-0.86610824,2.158956
104,Zhonghong_Ou,0,-0.6818656,-0.6231114
105,Wen-Jun_Hou,4,-1.1878903,0.6431549
106,Lirong_Qiu,0,0.9314462,-2.022245
107,Qibo_Sun,1,0.7930972,0.048865523
108,Hongbo_Wang_0001,0,-0.2895361,-0.8557883
109,Ying_Wang_0002,0,0.00861089,-1.1063255
110,Mengshi_Qi,4,-1.078122,1.2531964
111,Xuesong_Qiu_0001,1,0.51485556,-0.49259147
112,Hong_Luo_0001,1,-0.09980546,0.13952824
113,Xianlin_Zhang,4,0.07844048,2.4633348
114,Huiyuan_Fu,4,-1.2610697,1.0494643
115,Feifei_Kou,4,-0.9869664,0.76197946
116,Budan_Wu,1,-0.47169575,0.650575
117,Jinpeng_Chen,2,-1.6763504,-0.1670881
118,Jiapeng_Xiu,2,-1.4848264,-0.5628126
119,Kai_Shuang,3,0.75942457,1.1176625
120,Yonghao_Gu,1,0.38637277,0.7226675
121,Xiaolong_Zheng_0002,0,-0.54313916,-0.9420552
122,Shujie_Yang,3,1.7178674,0.22148886
123,Xiao-hong_Huang,2,-1.6611723,-0.6968296
124,Zhipeng_Gao,1,-0.5406457,0.10640212
125,Yuanyuan_Zuo,3,1.6591486,0.31125635
